Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,31,16,,,47
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,20,7,,,27
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,9,13,,,22
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,7,24,,,31
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,16,83,,,99
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,44,381,,,425
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,116,506,,,622
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,233,521,,,754
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,243,407,,,650
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,226,281,,,507
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,241,241,,,482
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,281,247,,,528
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,284,249,,,533
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,320,265,,,585
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,421,278,,,699
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,550,292,,,842
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,582,292,,,874
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,496,244,,,740
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,307,193,,,500
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,207,145,,,352
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,163,116,,,279
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,135,81,,,216
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,100,50,,,150
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,62,35,,,97
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,53,26,,,79
